run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:23:42-14776,runattr,,,configname,General,,,
General-0-20220530-08:23:42-14776,runattr,,,datetime,20220530-08:23:42,,,
General-0-20220530-08:23:42-14776,runattr,,,experiment,General,,,
General-0-20220530-08:23:42-14776,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:23:42-14776,runattr,,,iterationvars,,,,
General-0-20220530-08:23:42-14776,runattr,,,iterationvarsf,,,,
General-0-20220530-08:23:42-14776,runattr,,,measurement,,,,
General-0-20220530-08:23:42-14776,runattr,,,network,Network,,,
General-0-20220530-08:23:42-14776,runattr,,,processid,14776,,,
General-0-20220530-08:23:42-14776,runattr,,,repetition,0,,,
General-0-20220530-08:23:42-14776,runattr,,,replication,#0,,,
General-0-20220530-08:23:42-14776,runattr,,,resultdir,results,,,
General-0-20220530-08:23:42-14776,runattr,,,runnumber,0,,,
General-0-20220530-08:23:42-14776,runattr,,,seedset,0,,,
General-0-20220530-08:23:42-14776,param,,,Network.nodeTx.gen.generationInterval,exponential(0.1),,,
General-0-20220530-08:23:42-14776,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:23:42-14776,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:23:42-14776,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:23:42-14776,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:23:42-14776,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:23:42-14776,param,,,Network.confirmQueue.bufferSize,200,,,
