run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:25:26-14848,runattr,,,configname,General,,,
General-0-20220530-08:25:26-14848,runattr,,,datetime,20220530-08:25:26,,,
General-0-20220530-08:25:26-14848,runattr,,,experiment,General,,,
General-0-20220530-08:25:26-14848,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:25:26-14848,runattr,,,iterationvars,,,,
General-0-20220530-08:25:26-14848,runattr,,,iterationvarsf,,,,
General-0-20220530-08:25:26-14848,runattr,,,measurement,,,,
General-0-20220530-08:25:26-14848,runattr,,,network,Network,,,
General-0-20220530-08:25:26-14848,runattr,,,processid,14848,,,
General-0-20220530-08:25:26-14848,runattr,,,repetition,0,,,
General-0-20220530-08:25:26-14848,runattr,,,replication,#0,,,
General-0-20220530-08:25:26-14848,runattr,,,resultdir,results,,,
General-0-20220530-08:25:26-14848,runattr,,,runnumber,0,,,
General-0-20220530-08:25:26-14848,runattr,,,seedset,0,,,
General-0-20220530-08:25:26-14848,param,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,,
General-0-20220530-08:25:26-14848,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:25:26-14848,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:25:26-14848,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:25:26-14848,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:25:26-14848,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:25:26-14848,param,,,Network.confirmQueue.bufferSize,200,,,
