run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:36:44-15262,runattr,,,configname,General,,,
General-0-20220530-08:36:44-15262,runattr,,,datetime,20220530-08:36:44,,,
General-0-20220530-08:36:44-15262,runattr,,,experiment,General,,,
General-0-20220530-08:36:44-15262,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:36:44-15262,runattr,,,iterationvars,,,,
General-0-20220530-08:36:44-15262,runattr,,,iterationvarsf,,,,
General-0-20220530-08:36:44-15262,runattr,,,measurement,,,,
General-0-20220530-08:36:44-15262,runattr,,,network,Network,,,
General-0-20220530-08:36:44-15262,runattr,,,processid,15262,,,
General-0-20220530-08:36:44-15262,runattr,,,repetition,0,,,
General-0-20220530-08:36:44-15262,runattr,,,replication,#0,,,
General-0-20220530-08:36:44-15262,runattr,,,resultdir,results,,,
General-0-20220530-08:36:44-15262,runattr,,,runnumber,0,,,
General-0-20220530-08:36:44-15262,runattr,,,seedset,0,,,
General-0-20220530-08:36:44-15262,param,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,,
General-0-20220530-08:36:44-15262,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:36:44-15262,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:36:44-15262,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:36:44-15262,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:36:44-15262,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:36:44-15262,param,,,Network.confirmQueue.bufferSize,200,,,
