run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:22:33-14740,runattr,,,configname,General,,,
General-0-20220530-08:22:33-14740,runattr,,,datetime,20220530-08:22:33,,,
General-0-20220530-08:22:33-14740,runattr,,,experiment,General,,,
General-0-20220530-08:22:33-14740,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:22:33-14740,runattr,,,iterationvars,,,,
General-0-20220530-08:22:33-14740,runattr,,,iterationvarsf,,,,
General-0-20220530-08:22:33-14740,runattr,,,measurement,,,,
General-0-20220530-08:22:33-14740,runattr,,,network,Network,,,
General-0-20220530-08:22:33-14740,runattr,,,processid,14740,,,
General-0-20220530-08:22:33-14740,runattr,,,repetition,0,,,
General-0-20220530-08:22:33-14740,runattr,,,replication,#0,,,
General-0-20220530-08:22:33-14740,runattr,,,resultdir,results,,,
General-0-20220530-08:22:33-14740,runattr,,,runnumber,0,,,
General-0-20220530-08:22:33-14740,runattr,,,seedset,0,,,
General-0-20220530-08:22:33-14740,param,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,,
General-0-20220530-08:22:33-14740,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:22:33-14740,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:22:33-14740,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:22:33-14740,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:22:33-14740,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:22:33-14740,param,,,Network.confirmQueue.bufferSize,200,,,
General-0-20220530-08:22:33-14740,vector,Network.nodeTx.queue,bufferSize,,,,"0.397937252283 0.847217446525 1.475182825549 2.404984931586 2.866596497321 3.842369165263 4.242785165263 5.182267192364 5.582683192364 6.071186405561 6.590266055893 6.990682055893 7.391098055893 7.791514055893 8.903276266911 9.303692266911 10.961148406875 11.361564406875 11.761980406875 12.162396406875 12.946844465687 13.782950065849 14.183366065849 14.583782065849 15.003498492299 15.403914492299 16.703041535223 17.60722616736 18.00764216736 18.40805816736 18.80847416736 19.330780421514 19.731196421514 20.131612421514 21.025356253233 22.600441217571 23.35333334689 23.75374934689 24.773906475861 25.794352583817 27.716963518388 28.117379518388 28.919999296919 29.727000334365 30.127416334365 30.527832334365 31.28610032136 31.854069792215 32.254485792215 32.892099643327 33.402815580502 33.838976178023 34.239392178023 34.639808178023 36.087018417017 36.797700757064 37.198116757064 37.598532757064 37.998948757064 38.399364757064 38.799780757064 39.200196757064 39.94432416994 40.611969262252 41.012385262252 41.412801262252 41.832968615058 42.233384615058 42.633800615058 43.034216615058 43.514907084591 43.915323084591 44.388821423178 44.789237423178 45.269011411862 45.669427411862 47.108384922501 48.272841609608 48.845411086958 49.245827086958 49.646243086958 50.120990378706 50.521406378706 51.684581909553 52.282635809282 52.683051809282 53.083467809282 54.833574651509 55.383030885284 55.912447951028 56.467746673872 56.868162673872 57.268578673872 57.668994673872 58.069410673872 58.763932018768 59.164348018768 59.632378798654 60.032794798654 60.433210798654 60.855424695418 61.255840695418 61.656256695418 62.159192198001 64.386440621089 65.982913942116 66.383329942116 66.912243148792 67.312659148792 67.816668771502 68.217084771502 70.897134946624 71.426506304171 71.862464230984 72.262880230984 72.663296230984 73.063712230984 73.464128230984 73.864544230984 74.352976268019 74.753392268019 75.153808268019 75.554224268019 76.115808418786 76.649844517361 77.050260517361 77.450676517361 78.203994183997 78.604410183997 80.098005129923 80.498421129923 81.041555820362 81.90172164922 82.30213764922 82.70255364922 83.190104616298 84.10001407594 84.659921258817 85.060337258817 86.847131444989 88.721647174781 89.774307825177 90.174723825177 90.575139825177 92.456103467429 92.856519467429 93.32075871588 93.72117471588 94.393297351956 94.793713351956 95.194129351956 95.594545351956 95.994961351956 97.940746413379 98.341162413379 98.741578413379 99.141994413379 99.542410413379 99.942826413379 100.526263176653 100.926679176653 101.988797775154 102.389213775154 103.641169666697 104.041585666697 104.442001666697 105.03159643023 105.448018188263 105.866066954248 106.867687215502 107.268103215502 107.668519215502 108.068935215502 109.31172639399 109.71214239399 110.982294647969 111.411242468506 111.811658468506 113.136286432844 113.536702432844 113.937118432844 114.337534432844 114.887957387889 115.81162121339 116.21203721339 116.73292754048 117.362894445534 118.283535681278 118.683951681278 119.084367681278 119.484783681278 119.885199681278 120.326764202258 120.729162902159 121.129578902159 121.529994902159 122.412865438366 122.813281438366 123.213697438366 123.614113438366 124.180430509352 124.601972025426 125.002388025426 125.610642352144 126.275021289019 126.675437289019 128.313008877876 128.713424877876 129.113840877876 129.819353082523 130.248549566437 130.648965566437 131.09726100183 132.22912778976 132.653738195542 133.163067560551 133.563483560551 134.674237009788 136.20037783823 136.770181819996 137.170597819996 137.571013819996 138.507743759925 140.429247051547 141.03036633517 141.43078233517 141.83119833517 142.559607614452 143.400068716725 143.800484716725 144.200900716725 144.763541725147 145.828291423181 146.228707423181 146.663975336344 147.064391336344 148.131806561336 149.813991787862 150.403683254684 150.847613959902 151.493568594302 152.03248603637 152.43290203637 152.83331803637 154.396052215199 154.796468215199 155.312866720522 155.713282720522 156.113698720522 156.595925503269 157.062126943472 157.462542943472 157.862958943472 158.263374943472 158.663790943472 159.293312702104 159.832972801432 160.233388801432 160.633804801432 161.034220801432 161.515408329318 162.206897932586 162.607313932586 163.661037735061 164.061453735061 164.461869735061 164.862285735061 165.262701735061 165.684645971356 166.085061971356 166.531926510509 166.933202503388 167.36024237121 167.76065837121 168.290163063901 170.026430803542 170.554355607872 170.954771607872 171.355187607872 171.755603607872 172.889920604218 173.290336604218 173.690752604218 174.091168604218 174.491584604218 176.560489484473 177.672946813086 178.073362813086 178.893811602049 179.294227602049 179.902737349718 180.303153349718 180.703569349718 181.103985349718 182.36362641476 182.76404241476 183.390346177216 183.790762177216 187.173457437185 188.093323829724 188.493739829724 189.668828474599 190.681782883151 191.082198883151 191.482614883151 191.883030883151 192.361014095112 192.761430095112 193.161846095112 193.916757822917 194.85872226621 195.859715513973 196.683075064636 197.083491064636 197.504431545502 197.904847545502 198.305263545502 198.705679545502 199.106095545502","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
