run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:39:21-15400,runattr,,,configname,General,,,
General-0-20220530-08:39:21-15400,runattr,,,datetime,20220530-08:39:21,,,
General-0-20220530-08:39:21-15400,runattr,,,experiment,General,,,
General-0-20220530-08:39:21-15400,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:39:21-15400,runattr,,,iterationvars,,,,
General-0-20220530-08:39:21-15400,runattr,,,iterationvarsf,,,,
General-0-20220530-08:39:21-15400,runattr,,,measurement,,,,
General-0-20220530-08:39:21-15400,runattr,,,network,Network,,,
General-0-20220530-08:39:21-15400,runattr,,,processid,15400,,,
General-0-20220530-08:39:21-15400,runattr,,,repetition,0,,,
General-0-20220530-08:39:21-15400,runattr,,,replication,#0,,,
General-0-20220530-08:39:21-15400,runattr,,,resultdir,results,,,
General-0-20220530-08:39:21-15400,runattr,,,runnumber,0,,,
General-0-20220530-08:39:21-15400,runattr,,,seedset,0,,,
General-0-20220530-08:39:21-15400,param,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,,
General-0-20220530-08:39:21-15400,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:39:21-15400,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:39:21-15400,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:39:21-15400,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:39:21-15400,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:39:21-15400,param,,,Network.confirmQueue.bufferSize,200,,,
General-0-20220530-08:39:21-15400,vector,Network.nodeTx.queue,bufferSize,,,,"0.159174900913 0.559590900913 1.559590900913 3.559590900913 3.960006900913 4.360422900913 4.760838900913 5.760838900913 6.161254900913 7.161254900913 7.561670900913 7.962086900913 8.362502900913 8.762918900913 9.762918900913 10.163334900913 11.163334900913 11.563750900913 11.964166900913 12.364582900913 12.80928778532 13.20970378532 13.872686241306 14.273102241306 14.673518241306 15.073934241306 16.073934241306 18.073934241306 18.474350241306 19.474350241306 19.874766241306 20.874766241306 21.275182241306 22.275182241306 24.275182241306 24.675598241306 25.675598241306 26.076014241306 26.476430241306 27.476430241306 29.476430241306 29.876846241306 30.277262241306 31.277262241306 31.677678241306 32.078094241306 32.478510241306 32.878926241306 33.279342241306 34.279342241306 34.679758241306 35.080174241306 35.710208227041 36.110624227041 37.110624227041 39.110624227041 39.511040227041 39.919103078629 40.327281521811 41.096325895639 41.496741895639 42.496741895639 42.897157895639 43.897157895639 44.297573895639 45.297573895639 45.697989895639 46.098405895639 46.498821895639 47.498821895639 47.899237895639 48.299653895639 48.700069895639 49.700069895639 50.100485895639 50.500901895639 50.901317895639 51.301733895639 51.880617991236 52.880617991236 53.281033991236 54.281033991236 56.281033991236 56.681449991236 57.081865991236 58.081865991236 58.482281991236 59.482281991236 59.882697991236 60.283113991236 61.283113991236 63.283113991236 63.683529991236 64.083945991236 64.484361991236 64.884777991236 65.884777991236 66.285193991236 66.685609991236 67.086025991236 68.086025991236 68.486441991236 68.886857991236 69.886857991236 70.287273991236 71.287273991236 71.687689991236 72.088105991236 72.488521991236 72.888937991236 73.289353991236 73.864936995492 74.330719670335 75.330719670335 75.731135670335 76.131551670335 76.531967670335 76.932383670335 77.332799670335 78.332799670335 80.332799670335 80.733215670335 81.733215670335 83.733215670335 85.733215670335 86.133631670335 86.534047670335 86.934463670335 87.634506407226 88.634506407226 89.034922407226 89.435338407226 89.835754407226 90.236170407226 91.236170407226 91.636586407226 92.636586407226 94.636586407226 95.037002407226 96.037002407226 98.037002407226 100.037002407226 100.437418407226 100.837834407226 101.837834407226 102.238250407226 102.638666407226 103.039082407226 103.439498407226 104.439498407226 104.839914407226 105.240330407226 106.240330407226 106.640746407226 107.041162407226 108.041162407226 108.441578407226 109.441578407226 109.841994407226 110.242410407226 110.642826407226 111.043242407226 112.043242407226 114.043242407226 114.443658407226 115.443658407226 117.443658407226 117.844074407226 118.916094477275 119.916094477275 120.316510477275 120.716926477275 121.117342477275 121.517758477275 121.918174477275 122.918174477275 123.318590477275 123.719006477275 124.119422477275 125.119422477275 125.519838477275 125.920254477275 126.320670477275 127.320670477275 129.320670477275 129.721086477275 130.721086477275 131.121502477275 132.121502477275 132.521918477275 132.922334477275 133.922334477275 134.322750477275 134.723166477275 135.723166477275 137.723166477275 139.723166477275 140.123582477275 141.123582477275 141.523998477275 141.924414477275 142.924414477275 144.924414477275 145.324830477275 145.725246477275 146.725246477275 147.125662477275 147.526078477275 147.926494477275 148.926494477275 150.926494477275 152.926494477275 153.326910477275 153.727326477275 154.727326477275 155.127742477275 155.877548769192 156.29861302935 156.69902902935 157.09944502935 157.851830486251 158.252246486251 158.652662486251 159.053078486251 159.453494486251 159.853910486251 160.254326486251 160.654742486251 161.055158486251 161.83347251082 162.83347251082 163.23388851082 163.63430451082 164.63430451082 165.03472051082 165.43513651082 166.43513651082 166.83555251082 167.23596851082 167.63638451082 168.63638451082 169.03680051082 170.03680051082 170.43721651082 170.937998867437 171.937998867437 172.338414867437 173.338414867437 173.738830867437 174.738830867437 175.139246867437 175.539662867437 175.940078867437 176.340726971938 176.741142971938 177.741142971938 178.141558971938 178.541974971938 179.541974971938 179.942390971938 180.942390971938 181.342806971938 181.85086787353 182.85086787353 183.25128387353 184.25128387353 186.25128387353 186.65169987353 187.181551059265 187.581967059265 188.581967059265 188.982383059265 189.982383059265 191.982383059265 192.382799059265 192.783215059265 193.183631059265 194.183631059265 194.584047059265 194.984463059265 195.984463059265 197.984463059265 198.384879059265 198.785295059265 199.785295059265","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20220530-08:39:21-15400,vector,Network.queue,bufferSize,,,,"0.259274900913 0.659690900913 1.659690900913 3.659690900913 4.060106900913 4.460522900913 5.860938900913 6.261354900913 7.261354900913 7.661770900913 8.062186900913 8.462602900913 9.863018900913 10.263434900913 11.263434900913 11.663850900913 12.064266900913 12.464682900913 12.90938778532 13.30980378532 13.972786241306 14.373202241306 14.773618241306 18.174034241306 18.574450241306 19.574450241306 19.974866241306 20.974866241306 24.375282241306 24.775698241306 25.775698241306 26.176114241306 26.576530241306 27.576530241306 29.576530241306 29.976946241306 30.377362241306 31.377362241306 31.777778241306 32.178194241306 32.578610241306 32.979026241306 33.379442241306 34.379442241306 34.779858241306 35.180274241306 35.810308227041 39.210724227041 39.611140227041 40.019203078629 40.427381521811 41.196425895639 41.596841895639 42.596841895639 43.997257895639 44.397673895639 45.397673895639 45.798089895639 46.198505895639 47.598921895639 47.999337895639 48.399753895639 48.800169895639 49.800169895639 50.200585895639 50.601001895639 51.001417895639 51.401833895639 52.980717991236 56.381133991236 56.781549991236 58.181965991236 58.582381991236 59.582381991236 59.982797991236 60.383213991236 61.383213991236 63.383213991236 63.783629991236 64.184045991236 64.584461991236 64.984877991236 65.984877991236 66.385293991236 66.785709991236 68.186125991236 68.586541991236 69.986957991236 71.387373991236 71.787789991236 72.188205991236 72.588621991236 72.989037991236 73.389453991236 73.965036995492 75.430819670335 75.831235670335 76.231651670335 76.632067670335 77.032483670335 78.432899670335 80.432899670335 81.833315670335 85.833315670335 86.233731670335 86.634147670335 87.034563670335 87.734606407226 88.734606407226 89.135022407226 89.535438407226 89.935854407226 90.336270407226 91.336270407226 94.736686407226 96.137102407226 100.137102407226 100.537518407226 101.937934407226 102.338350407226 102.738766407226 103.139182407226 104.539598407226 104.940014407226 106.340430407226 106.740846407226 107.141262407226 108.141262407226 109.541678407226 109.942094407226 110.342510407226 110.742926407226 111.143342407226 114.143342407226 114.543758407226 117.543758407226 117.944174407226 119.016194477275 120.016194477275 120.416610477275 120.817026477275 121.217442477275 121.617858477275 123.018274477275 123.418690477275 123.819106477275 124.219522477275 125.219522477275 125.619938477275 126.020354477275 127.420770477275 129.420770477275 130.821186477275 132.221602477275 132.622018477275 133.022434477275 134.022434477275 134.422850477275 139.823266477275 141.223682477275 141.624098477275 143.024514477275 145.024514477275 145.424930477275 145.825346477275 146.825346477275 147.225762477275 147.626178477275 153.026594477275 153.427010477275 154.827426477275 155.227842477275 155.977648769192 156.39871302935 156.79912902935 157.19954502935 157.951930486251 158.352346486251 158.752762486251 159.153178486251 159.553594486251 159.954010486251 160.354426486251 160.754842486251 161.155258486251 162.93357251082 163.33398851082 163.73440451082 164.73440451082 165.13482051082 166.53523651082 166.93565251082 167.33606851082 167.73648451082 168.73648451082 170.13690051082 170.53731651082 172.038098867437 173.438514867437 173.838930867437 174.838930867437 175.239346867437 175.639762867437 176.040178867437 176.440826971938 176.841242971938 177.841242971938 178.241658971938 178.642074971938 179.642074971938 180.042490971938 181.042490971938 181.442906971938 181.95096787353 182.95096787353 184.35138387353 186.35138387353 186.75179987353 187.281651059265 187.682067059265 188.682067059265 189.082483059265 190.082483059265 192.082483059265 192.482899059265 192.883315059265 194.283731059265 194.684147059265 195.084563059265 198.084563059265 198.484979059265 199.885395059265","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20220530-08:39:21-15400,vector,Network.nodeRx.queue,bufferSize,,,,"0.459374900913 0.859790900913 1.859790900913 3.859790900913 4.260206900913 4.660622900913 6.061038900913 6.461454900913 7.461454900913 7.861870900913 8.262286900913 8.662702900913 10.063118900913 10.463534900913 11.463534900913 11.863950900913 12.264366900913 12.664782900913 13.10948778532 13.50990378532 14.172886241306 14.573302241306 14.973718241306 18.374134241306 18.774550241306 19.774550241306 20.174966241306 21.174966241306 24.575382241306 24.975798241306 25.975798241306 26.376214241306 26.776630241306 27.776630241306 29.776630241306 30.177046241306 30.577462241306 31.577462241306 31.977878241306 32.378294241306 32.778710241306 33.179126241306 33.579542241306 34.579542241306 34.979958241306 35.380374241306 36.010408227041 39.410824227041 39.811240227041 40.219303078629 40.627481521811 41.396525895639 41.796941895639 42.796941895639 44.197357895639 44.597773895639 45.597773895639 45.998189895639 46.398605895639 47.799021895639 48.199437895639 48.599853895639 49.000269895639 50.000269895639 50.400685895639 50.801101895639 51.201517895639 51.601933895639 53.180817991236 56.581233991236 56.981649991236 58.382065991236 58.782481991236 59.782481991236 60.182897991236 60.583313991236 61.583313991236 63.583313991236 63.983729991236 64.384145991236 64.784561991236 65.184977991236 66.184977991236 66.585393991236 66.985809991236 68.386225991236 68.786641991236 70.187057991236 71.587473991236 71.987889991236 72.388305991236 72.788721991236 73.189137991236 73.589553991236 74.165136995492 75.630919670335 76.031335670335 76.431751670335 76.832167670335 77.232583670335 78.632999670335 80.632999670335 82.033415670335 86.033415670335 86.433831670335 86.834247670335 87.234663670335 87.934706407226 88.934706407226 89.335122407226 89.735538407226 90.135954407226 90.536370407226 91.536370407226 94.936786407226 96.337202407226 100.337202407226 100.737618407226 102.138034407226 102.538450407226 102.938866407226 103.339282407226 104.739698407226 105.140114407226 106.540530407226 106.940946407226 107.341362407226 108.341362407226 109.741778407226 110.142194407226 110.542610407226 110.943026407226 111.343442407226 114.343442407226 114.743858407226 117.743858407226 118.144274407226 119.216294477275 120.216294477275 120.616710477275 121.017126477275 121.417542477275 121.817958477275 123.218374477275 123.618790477275 124.019206477275 124.419622477275 125.419622477275 125.820038477275 126.220454477275 127.620870477275 129.620870477275 131.021286477275 132.421702477275 132.822118477275 133.222534477275 134.222534477275 134.622950477275 140.023366477275 141.423782477275 141.824198477275 143.224614477275 145.224614477275 145.625030477275 146.025446477275 147.025446477275 147.425862477275 147.826278477275 153.226694477275 153.627110477275 155.027526477275 155.427942477275 156.177748769192 156.59881302935 156.99922902935 157.39964502935 158.152030486251 158.552446486251 158.952862486251 159.353278486251 159.753694486251 160.154110486251 160.554526486251 160.954942486251 161.355358486251 163.13367251082 163.53408851082 163.93450451082 164.93450451082 165.33492051082 166.73533651082 167.13575251082 167.53616851082 167.93658451082 168.93658451082 170.33700051082 170.73741651082 172.238198867437 173.638614867437 174.039030867437 175.039030867437 175.439446867437 175.839862867437 176.240278867437 176.640926971938 177.041342971938 178.041342971938 178.441758971938 178.842174971938 179.842174971938 180.242590971938 181.242590971938 181.643006971938 182.15106787353 183.15106787353 184.55148387353 186.55148387353 186.95189987353 187.481751059265 187.882167059265 188.882167059265 189.282583059265 190.282583059265 192.282583059265 192.682999059265 193.083415059265 194.483831059265 194.884247059265 195.284663059265 198.284663059265 198.685079059265","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
