run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:24:28-14811,runattr,,,configname,General,,,
General-0-20220530-08:24:28-14811,runattr,,,datetime,20220530-08:24:28,,,
General-0-20220530-08:24:28-14811,runattr,,,experiment,General,,,
General-0-20220530-08:24:28-14811,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:24:28-14811,runattr,,,iterationvars,,,,
General-0-20220530-08:24:28-14811,runattr,,,iterationvarsf,,,,
General-0-20220530-08:24:28-14811,runattr,,,measurement,,,,
General-0-20220530-08:24:28-14811,runattr,,,network,Network,,,
General-0-20220530-08:24:28-14811,runattr,,,processid,14811,,,
General-0-20220530-08:24:28-14811,runattr,,,repetition,0,,,
General-0-20220530-08:24:28-14811,runattr,,,replication,#0,,,
General-0-20220530-08:24:28-14811,runattr,,,resultdir,results,,,
General-0-20220530-08:24:28-14811,runattr,,,runnumber,0,,,
General-0-20220530-08:24:28-14811,runattr,,,seedset,0,,,
General-0-20220530-08:24:28-14811,param,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,,
General-0-20220530-08:24:28-14811,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:24:28-14811,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:24:28-14811,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:24:28-14811,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:24:28-14811,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:24:28-14811,param,,,Network.confirmQueue.bufferSize,200,,,
