run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:15:57-14559,runattr,,,configname,General,,,
General-0-20220530-08:15:57-14559,runattr,,,datetime,20220530-08:15:57,,,
General-0-20220530-08:15:57-14559,runattr,,,experiment,General,,,
General-0-20220530-08:15:57-14559,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:15:57-14559,runattr,,,iterationvars,,,,
General-0-20220530-08:15:57-14559,runattr,,,iterationvarsf,,,,
General-0-20220530-08:15:57-14559,runattr,,,measurement,,,,
General-0-20220530-08:15:57-14559,runattr,,,network,Network,,,
General-0-20220530-08:15:57-14559,runattr,,,processid,14559,,,
General-0-20220530-08:15:57-14559,runattr,,,repetition,0,,,
General-0-20220530-08:15:57-14559,runattr,,,replication,#0,,,
General-0-20220530-08:15:57-14559,runattr,,,resultdir,results,,,
General-0-20220530-08:15:57-14559,runattr,,,runnumber,0,,,
General-0-20220530-08:15:57-14559,runattr,,,seedset,0,,,
General-0-20220530-08:15:57-14559,param,,,Network.nodeTx.gen.generationInterval,exponential(0.1),,,
General-0-20220530-08:15:57-14559,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:15:57-14559,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:15:57-14559,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:15:57-14559,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:15:57-14559,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:15:57-14559,param,,,Network.confirmQueue.bufferSize,200,,,
