run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:36:18-15225,runattr,,,configname,General,,,
General-0-20220530-08:36:18-15225,runattr,,,datetime,20220530-08:36:18,,,
General-0-20220530-08:36:18-15225,runattr,,,experiment,General,,,
General-0-20220530-08:36:18-15225,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:36:18-15225,runattr,,,iterationvars,,,,
General-0-20220530-08:36:18-15225,runattr,,,iterationvarsf,,,,
General-0-20220530-08:36:18-15225,runattr,,,measurement,,,,
General-0-20220530-08:36:18-15225,runattr,,,network,Network,,,
General-0-20220530-08:36:18-15225,runattr,,,processid,15225,,,
General-0-20220530-08:36:18-15225,runattr,,,repetition,0,,,
General-0-20220530-08:36:18-15225,runattr,,,replication,#0,,,
General-0-20220530-08:36:18-15225,runattr,,,resultdir,results,,,
General-0-20220530-08:36:18-15225,runattr,,,runnumber,0,,,
General-0-20220530-08:36:18-15225,runattr,,,seedset,0,,,
General-0-20220530-08:36:18-15225,param,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,,
General-0-20220530-08:36:18-15225,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:36:18-15225,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:36:18-15225,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:36:18-15225,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:36:18-15225,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:36:18-15225,param,,,Network.confirmQueue.bufferSize,200,,,
