run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:38:02-15329,runattr,,,configname,General,,,
General-0-20220530-08:38:02-15329,runattr,,,datetime,20220530-08:38:02,,,
General-0-20220530-08:38:02-15329,runattr,,,experiment,General,,,
General-0-20220530-08:38:02-15329,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:38:02-15329,runattr,,,iterationvars,,,,
General-0-20220530-08:38:02-15329,runattr,,,iterationvarsf,,,,
General-0-20220530-08:38:02-15329,runattr,,,measurement,,,,
General-0-20220530-08:38:02-15329,runattr,,,network,Network,,,
General-0-20220530-08:38:02-15329,runattr,,,processid,15329,,,
General-0-20220530-08:38:02-15329,runattr,,,repetition,0,,,
General-0-20220530-08:38:02-15329,runattr,,,replication,#0,,,
General-0-20220530-08:38:02-15329,runattr,,,resultdir,results,,,
General-0-20220530-08:38:02-15329,runattr,,,runnumber,0,,,
General-0-20220530-08:38:02-15329,runattr,,,seedset,0,,,
General-0-20220530-08:38:02-15329,param,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,,
General-0-20220530-08:38:02-15329,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:38:02-15329,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:38:02-15329,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:38:02-15329,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:38:02-15329,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:38:02-15329,param,,,Network.confirmQueue.bufferSize,200,,,
